status,metric_name,group_name,protocol_variant,payload_class,prompt_family,n,mean,standard_deviation,bootstrap_ci_low_95,bootstrap_ci_high_95,notes
ok,exact_recovery,protocol_variant,nonseg_ascii_b16,,,6,1.0,0.0,1.0,1.0,deterministic bootstrap over recorded trial rows
ok,exact_recovery,protocol_variant,nonseg_ascii_b8,,,8,0.875,0.3535533905932738,0.625,1.0,deterministic bootstrap over recorded trial rows
ok,exact_recovery,protocol_variant,nonseg_hex_nibble_b16,,,6,1.0,0.0,1.0,1.0,deterministic bootstrap over recorded trial rows
ok,exact_recovery,protocol_variant_by_payload_class,nonseg_ascii_b16,sha256_hex,,6,1.0,0.0,1.0,1.0,deterministic bootstrap over recorded trial rows
ok,exact_recovery,protocol_variant_by_payload_class,nonseg_ascii_b8,random_128_bit_hex,,2,1.0,0.0,1.0,1.0,deterministic bootstrap over recorded trial rows
ok,exact_recovery,protocol_variant_by_payload_class,nonseg_ascii_b8,sha256_hex,,6,0.8333333333333334,0.408248290463863,0.5,1.0,deterministic bootstrap over recorded trial rows
ok,exact_recovery,protocol_variant_by_payload_class,nonseg_hex_nibble_b16,sha256_hex,,6,1.0,0.0,1.0,1.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant,nonseg_ascii_b16,,,6,128.0,0.0,128.0,128.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant,nonseg_ascii_b8,,,8,149.75,39.34735424033344,117.875,171.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant,nonseg_hex_nibble_b16,,,6,64.0,0.0,64.0,64.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant_by_payload_class,nonseg_ascii_b16,sha256_hex,,6,128.0,0.0,128.0,128.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant_by_payload_class,nonseg_ascii_b8,random_128_bit_hex,,2,86.0,0.0,86.0,86.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant_by_payload_class,nonseg_ascii_b8,sha256_hex,,6,171.0,0.0,171.0,171.0,deterministic bootstrap over recorded trial rows
ok,rank_count,protocol_variant_by_payload_class,nonseg_hex_nibble_b16,sha256_hex,,6,64.0,0.0,64.0,64.0,deterministic bootstrap over recorded trial rows
ok,generated_token_count,protocol_variant,nonseg_ascii_b16,,,6,128.0,0.0,128.0,128.0,deterministic bootstrap over recorded trial rows
ok,generated_token_count,protocol_variant,nonseg_ascii_b8,,,8,149.75,39.34735424033344,117.875,171.0,deterministic bootstrap over recorded trial rows
ok,generated_token_count,protocol_variant,nonseg_hex_nibble_b16,,,6,64.0,0.0,64.0,64.0,deterministic bootstrap over recorded trial rows
