detector,evaluation_id,dimension,level,row_count,positive_count,negative_count,roc_auc,partial_auc_fpr_0_01,partial_auc_unavailable_reason,tpr_at_main_threshold_fpr_0_01,fpr_at_main_threshold_fpr_0_01,low_fpr_0_01_unavailable_reason,tpr_at_main_threshold_fpr_0_001,fpr_at_main_threshold_fpr_0_001,low_fpr_0_001_unavailable_reason,tpr_at_main_threshold_fpr_0_01_ci_low_95,tpr_at_main_threshold_fpr_0_01_ci_high_95,fpr_at_main_threshold_fpr_0_01_ci_low_95,fpr_at_main_threshold_fpr_0_01_ci_high_95
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,codec_id,direct_subword_calgacus,198,99,99,0.9990817263544536,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,codec_id,nonseg_ascii_b16,198,99,99,0.9990817263544536,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,codec_id,nonseg_ascii_b8,198,99,99,0.9998979695949392,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,codec_id,nonseg_hex_nibble_b16,80,40,40,0.998125,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,codec_id,segmented_hex_multi_topic,160,80,80,0.99421875,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,codec_id,segmented_hex_single_topic,160,80,80,0.991875,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,aes256_gcm_base64,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,chacha20_poly1305_base64,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,ed25519_signature_base64,84,42,42,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,hmac_sha256_hex,144,72,72,0.9994212962962964,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,
