plan_id,experimental_cell_id,pairing_unit_id,experiment,model_id,quantization,payload_class,representation_name,source_codec_id,prompt_template_id,payload_index,payload_name,gate_level,threshold_source,label,population,generation_method,trial_status,generation_required,random_seed,paired_rankcloak_seed,paired_ordinary_control_seed,seed_shared_across_gate_levels,random_seed_consumed,ordinary_sampling_temperature,ordinary_sampling_top_p,ordinary_sampler,reference_same_payload_row_id,reference_same_payload_pair_id,reference_same_payload_trial_id,reference_prompt_template_id,exact_v2_baseline_compatible,unavailable_reuse_reason,source_row_id,source_trial_id,fixed_payload_maximum_length_rule,fixed_token_budget_rule,control_length_rule,control_prefix_contract
entropy_trial__002beb41d3902d0e99f8d7ca,entropy_cell__0cea944272901ade48621f2e,entropy_pair__06f85acb129434b0a07526cc,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,chacha20_poly1305_base64,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_chacha20_poly1305_base64_003,ungated,not_applicable,1,rankcloak,new_ordinary_rankcloak_gate_disabled,planned_new_generation,True,305376346527978704,305376346527978704,4686968460673924625,True,False,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__59bf9c8678f15a779eb02fd5__rankcloak,detector_pair__59bf9c8678f15a779eb02fd5,revision_v1_primary_v2_payload_fidelity_v2__8fe45dfea9f899711f01,explain_biological_process,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak,not_applicable_rankcloak
entropy_trial__008389ec9ad5e92c623b2930,entropy_cell__08e774099c80c362fca9ceeb,entropy_pair__9029348eb666eb88def781b6,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,nonce_96_bit_hex,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_nonce_96_bit_hex_003,strict,model_clean_development_entropy_quantile_0.75,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,6566384635048245768,4434678513006777049,6566384635048245768,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__98dcb0694c053773e693b758__ordinary_control,detector_pair__98dcb0694c053773e693b758,revision_v1_primary_v2_payload_fidelity_v2__c4da5dfea94c634dbe60,professional_schedule_note,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count,same_prompt_seed_and_sampler_across_gate_levels
entropy_trial__008cf9d822bbce2de9cdf4a0,entropy_cell__94cb6f5960ebeff2023a7ff0,entropy_pair__be68441a9ac2fec5ed05664a,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,hmac_sha256_hex,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_hmac_sha256_hex_003,strict,model_clean_development_entropy_quantile_0.75,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,201661335458358347,7411302345374933018,201661335458358347,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__3683445b82677cac9f488733__ordinary_control,detector_pair__3683445b82677cac9f488733,revision_v1_primary_v2_payload_fidelity_v2__3173742cea236da8cc13,explain_biological_process,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count,same_prompt_seed_and_sampler_across_gate_levels
entropy_trial__00ded04a86b157f227368a5f,entropy_cell__40301dca6f611bc8ae909090,entropy_pair__636b87df0fbe6b8851863f3a,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,sha256_hex,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_sha256_hex_041,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,4222093727847549824,4386657143137076476,4222093727847549824,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__b51b0da5e46438ade6e09d53__ordinary_control,detector_pair__b51b0da5e46438ade6e09d53,revision_v1_primary_v2_payload_fidelity_v2__12ad327da0d98da04364,professional_process_email,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count,same_prompt_seed_and_sampler_across_gate_levels
entropy_trial__012a8b6d5d1ab6ef010af88e,entropy_cell__23a6f41ee870b4e11f101915,entropy_pair__6a292415f81088f17c4719ab,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,nonce_96_bit_hex,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_nonce_96_bit_hex_003,moderate,model_clean_development_entropy_quantile_0.50,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,506495442291298603,506495442291298603,2953327459515586816,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__c52bcc92757e33da8fcc5075__rankcloak,detector_pair__c52bcc92757e33da8fcc5075,revision_v1_primary_v2_payload_fidelity_v2__e5e63af6caf5fdf0c0a8,casual_weekend_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak,not_applicable_rankcloak
entropy_trial__018029304d78cb5994214720,entropy_cell__fe1262f4467ae2f6756676a0,entropy_pair__1eaba895ad0110f6fed7e9f5,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,chacha20_poly1305_base64,ascii_b16,nonseg_ascii_b16,explain_everyday_system,3,revision_v1_chacha20_poly1305_base64_003,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,975980596701866863,4308400836407443661,975980596701866863,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__8bb017d1e166b0cf9be41b08__ordinary_control,detector_pair__8bb017d1e166b0cf9be41b08,revision_v1_primary_v2_payload_fidelity_v2__ac89fc804b4106e744b5,procedure_simple_meal,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count,same_prompt_seed_and_sampler_across_gate_levels
entropy_trial__01f8e0d89b13bdb8b70703ae,entropy_cell__41adb0089ce7d1917d2169f7,entropy_pair__354a610aebcd004a310fa444,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,aes256_gcm_base64,ascii_b16,nonseg_ascii_b16,professional_project_update,41,revision_v1_aes256_gcm_base64_041,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,7012622532324006424,8114365736051231077,7012622532324006424,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__b1806d92fcd74766a923dad6__ordinary_control,detector_pair__b1806d92fcd74766a923dad6,revision_v1_primary_v2_payload_fidelity_v2__4c6c46fb9e30c38fc133,narrative_learning_moment,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count,same_prompt_seed_and_sampler_across_gate_levels
entropy_trial__02d5731886d43323e9c5c679,entropy_cell__0335e08e2f5515b25f2c8056,entropy_pair__bb56f6fe2e1014a012875f51,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,hmac_sha256_hex,ascii_b16,nonseg_ascii_b16,explain_everyday_system,3,revision_v1_hmac_sha256_hex_003,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,6581464116993896034,7387475582379083049,6581464116993896034,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__022a17e29dc4a2ef4bfa7855__ordinary_control,detector_pair__022a17e29dc4a2ef4bfa7855,revision_v1_primary_v2_payload_fidelity_v2__59faf020d634f1007c1c,casual_weekend_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count,same_prompt_seed_and_sampler_across_gate_levels
entropy_trial__02e86c45b072ecf5f7cc844b,entropy_cell__78575c52da4de6da6d1ca55b,entropy_pair__376859b0b7526d2dbefaf299,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,sha256_hex,hex_nibble,nonseg_hex_nibble_b16,professional_project_update,41,revision_v1_sha256_hex_041,strict,model_clean_development_entropy_quantile_0.75,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,4015012822680326948,4015012822680326948,57896549374445966,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__ade37202d8c7252b797607b1__rankcloak,detector_pair__ade37202d8c7252b797607b1,revision_v1_primary_v2_payload_fidelity_v2__e3ab391c2849a563e39a,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak,not_applicable_rankcloak
entropy_trial__03b7e27c95e72ae0892a4c49,entropy_cell__110d5642d345cd2c14e690d0,entropy_pair__603d2722c6021fce356dea30,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,chacha20_poly1305_base64,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_chacha20_poly1305_base64_003,ungated,not_applicable,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,6496040981765204767,4734482930490803010,6496040981765204767,True,True,0.8,0.95,numpy_pcg64_serial_top_p_v1_token_id_tiebreak,detector_pair__9ca08bf3b0cfb9442e66098e__ordinary_control,detector_pair__9ca08bf3b0cfb9442e66098e,revision_v1_primary_v2_payload_fidelity_v2__aed52391f98d6e41b97e,procedure_simple_meal,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count,same_prompt_seed_and_sampler_across_gate_levels
